2025-12-06 01:13:01:011 : | info | "POST /register - API execution started." |
2025-12-06 01:13:09:099 : | info | "POST /register - API execution started." |
2025-12-06 01:13:15:1515 : | info | "POST /register - API execution started." |
2025-12-06 01:13:15:1515 : | info | "POST /register - Image uploaded at /uploads/userProfilePictures/1764963795884-290306876.png" |
2025-12-06 01:15:26:2626 : | info | "POST /register - API execution started." |
2025-12-06 01:15:26:2626 : | info | "POST /register - Image uploaded at /uploads/userProfilePictures/1764963926763-804473226.png" |
2025-12-06 01:18:16:1616 : | info | "POST /register - API execution started." |
2025-12-06 01:18:16:1616 : | info | "POST /register - Image uploaded at /uploads/userProfilePictures/1764964096100-31642504.png" |
2025-12-06 01:19:50:5050 : | info | "POST /register - API execution started." |
2025-12-06 01:19:51:5151 : | info | "POST /register - Image uploaded at /uploads/userProfilePictures/1764964190380-843578280.png" |
2025-12-06 01:19:51:5151 : | info | "POST /register - User registered successfully." |
2025-12-06 01:21:13:1313 : | info | "POST /register - API execution started." |
2025-12-06 01:21:13:1313 : | info | "POST /register - Image uploaded at /uploads/userProfilePictures/1764964273411-435385420.png" |
2025-12-06 01:21:14:1414 : | info | "POST /register - User registered successfully." |
2025-12-06 01:21:28:2828 : | info | "POST /login - API execution started." |
2025-12-06 01:21:28:2828 : | info | "POST /login - Response sent successfully." |
2025-12-06 01:21:28:2828 : | info | "GET /dashboard - API execution started. userId=693337b141569b2a7c257e6c" |
2025-12-06 01:21:28:2828 : | info | "GET /dashboard - Response sent successfully. userId=693337b141569b2a7c257e6c" |
2025-12-06 01:25:15:1515 : | info | "GET /dashboard - API execution started. userId=693337b141569b2a7c257e6c" |
2025-12-06 01:25:15:1515 : | info | "GET /dashboard - Response sent successfully. userId=693337b141569b2a7c257e6c" |
2025-12-06 01:28:39:3939 : | info | "GET /newTier - API execution started. userId=693337b141569b2a7c257e6c" |
2025-12-06 01:28:39:3939 : | info | "GET /newTier - New tier unlocked! unlockedTier=None userId=693337b141569b2a7c257e6c" |
2025-12-06 01:28:40:4040 : | info | "GET /dashboard - API execution started. userId=693337b141569b2a7c257e6c" |
2025-12-06 01:28:40:4040 : | info | "GET /dashboard - Response sent successfully. userId=693337b141569b2a7c257e6c" |
2025-12-06 01:29:00:000 : | info | "GET /newTier - API execution started. userId=693337b141569b2a7c257e6c" |
2025-12-06 01:29:00:000 : | info | "GET /dashboard - API execution started. userId=693337b141569b2a7c257e6c" |
2025-12-06 01:29:01:011 : | info | "GET /newTier - New tier unlocked! unlockedTier=None userId=693337b141569b2a7c257e6c" |
2025-12-06 01:29:01:011 : | info | "GET /dashboard - Response sent successfully. userId=693337b141569b2a7c257e6c" |
2025-12-06 01:29:12:1212 : | info | "GET /dashboard - API execution started. userId=693337b141569b2a7c257e6c" |
2025-12-06 01:29:12:1212 : | info | "GET /newTier - API execution started. userId=693337b141569b2a7c257e6c" |
2025-12-06 01:29:12:1212 : | info | "GET /newTier - New tier unlocked! unlockedTier=None userId=693337b141569b2a7c257e6c" |
2025-12-06 01:29:12:1212 : | info | "GET /dashboard - Response sent successfully. userId=693337b141569b2a7c257e6c" |
2025-12-06 01:31:43:4343 : | info | "GET /newTier - API execution started. userId=693337b141569b2a7c257e6c" |
2025-12-06 01:31:43:4343 : | info | "GET /dashboard - API execution started. userId=693337b141569b2a7c257e6c" |
